护栏 横杆 连接 装置   本 实用新型 涉及 护栏 横杆 连接 装置 ， 包括 上盖 、 下盖 及 套管 ， 所述 上盖 与 下 盖 组合 安装 ， 套管 将 上 盖 与 下 盖 固定 连接 ， 上盖 与 下 盖 安装 后 的 组合体 包括 位于 竖直 向且 两端 贯穿 的 空腔 ， 该 空腔 的 两侧 设有 向 水平 向 延伸 的 安装 腔 ， 套管 呈环 形状 ， 空腔 下方 开口 的 内壁 设有 定位 凹槽 。 本 实用新型 采用 塑料 ABS 一体 注塑 而成 ， 具有 强度 好 韧性 高 的 特点 ， 相比 金属件 尤其 适用 于 室外 露天 环境 ， 解决 了 金属件 会 生锈 腐蚀 ， 后期 不好 拆卸 等 问题 ， 塑料件 轻便 ， 拆卸 方便 ， 可 快速 完成 装配 且 制造 成本低 。 

用于 桥梁 装配 的 连接 机构   本 实用新型 涉及 用于 桥梁 装配 的 连接 机构 ， 包括 挂钩 、 螺栓 、 U 型 支架 及 安装 块 ， 所述 挂钩 分别 位于 安装 块 两侧 ， 挂钩 与 安装 块 转动 安装 ， 安装 块 设有 螺纹 孔 ， 螺栓 穿透 U 型 支架 后 与 安装 块 螺纹 连接 ， 拧动 螺栓 可 带动 安装 块 移动 ， U 型 支架 包括 底面 、 左侧 面 和 右侧 面 ， 底面 两端 分别 与 左侧 面 、 右侧 面 固定 连接 ； 所述 安装 块 呈 H 型 结构 ， 安装 块 包括 第一 长 边 、 第二 长边 和 第三 短边 ， 第三 短边 两端 分别 与 第一 长 边 、 第二 长 边 固定 连接 。 

用于 挂篮 的 后 锚 压梁   本 实用新型 涉及 用于 挂篮 的 后 锚 压梁 ， 包括 两条 槽钢 、 连接 板 、 加强筋 ， 两条 槽钢 背靠背 设置 ， 两条 槽钢 之间 留有 间隙 ， 若干 数量 的 连接 板点 段式 分布 在 两 槽钢 之间 ， 与 两侧 的 槽钢 固定 连接 ； 加强筋 设在 槽钢 的 槽 体内 ， 与 槽钢 固定 连接 。 本 实用新型 采用 两根 槽钢 ， 两 槽钢 之间 点段 式 设置 连接 板 ， 使用 时 螺纹钢 可 自由 穿过 两 槽钢 之间 的 空隙 ， 与 现有 技术 相比 免去 了 切割 、 焊补 作业 ， 提高 的 施工 效率 ， 对 用于 挂篮 的 后 锚 压梁 整体 结构 的 稳定性 能 有 了 显著 提高 ， 可 提高 反复 利用 次数 ； 在 强度 上 ， 连接 板为 实心 板 ， 在 分布 密度 上以 200 至 800mm 为 间距 ， 在 槽钢 端部 设置 封板 ， 整体 刚性 强度 得到 保障 ， 使用 更加 安全可靠 。 

挂篮 行走 系统   挂篮 行走 系统 ， 包括 油缸 、 滑轨 、 连接 挂篮 且 与 滑轨 滑动 安装 的 滑块 ， 此外 还 包括 牵引 定位 机构 ， 滑轨 上 设有 配合 牵引 定位 机构 限位 的 开孔 ， 油缸 一端 与 滑块 转动 连接 ， 油缸 另一端 与 牵引 定位 机构 转动 连接 ； 所述 油缸 伸长 时 ， 牵引 定位 机构 嵌于 或 脱离 开孔 ， 牵引 定位 机构 与 滑轨 相对 固定 ； 油缸 收缩 时 ， 牵引 定位 机构 脱离 或 嵌 于 开孔 ， 牵引 定位 机构 与 滑轨 相对 滑动 。 

装配式 钢 桥梁 护栏   装配式 钢 桥梁 护栏 ， 包括 立柱 、 护栏 片 和 用于 安装 立柱 的 基座 ， 基座 与 立柱 固定 连接 ， 此外 还 包括 装配 机构 ， 所述 护栏 片 与 立柱 采用 装配 机构 装配 连接 ； 所述 装配 机构 包括 立柱 接头 、 护栏 片 接头 ， 所述 立柱 接头 包括 立柱 安装 腔 、 用于 容置 护栏 片 接头 的 定位 部 ， 立柱 安装 腔 两侧 固定设置 有 定位 部 ， 立柱 安装 腔 套设 安装 在 立柱 外 ， 护栏 片 两侧 固定设置 有 护栏 片 接头 ； 护栏 片 接头 落入 定位 部内 装配 固定 。 

安全 爬梯   本 实用新型 涉及 安全 爬梯 ， 包括 主梁 、 踏板 、 支撑 件 、 丝杆 、 护栏 ， 所述 主梁 至少 为 两根 ， 两 主梁 的 内面 均 固定 安装 有 支撑 件 ， 两 主梁 的 支撑 件 位于 同一 水平线 ， 支撑 件 支撑 踏板 装配 连接 ， 两 主梁 之间 采用 丝杆 将 两者 固定 ， 所述 踏板 采用 金属 板材 冲压 制作 而成 一个 四方 体 结构 ， 踏板 两端 的 端面 设有 装配 孔 ， 支撑 件 与 主梁 固定 连接 ， 支撑 件 上 设有 凸卡 ， 所述 支撑 件 采用 三角 钢 制作 而成 ， 三角 钢 的 其中 任意 一边 的 某个 部位 向 另一边 折弯 形成 凸卡 ， 所述 凸卡 对应 装配 孔 ， 凸卡 嵌入 踏板 的 装配 孔内 ， 三角 钢 的 另一边 支撑 踏板 的 下方 ， 护栏 与 主梁 装配 连接 。 

用于 前 支点 挂篮 移动 的 翻滚 轮   用于 前 支点 挂篮 移动 的 翻滚 轮 ， 包括 用于 浇筑 施工 的 前 支点 挂篮 ， 所述 前 支点 挂篮 包括 主 纵梁 、 C 型 挂钩 ， 主 纵梁 与 C 型 挂钩 的 一端 固定 连接 ， C 型 挂钩 的 另一端 与 浇筑 体 具有 转动 点 ， 其 特征 是 ： 主 纵梁 设有 翻滚 机构 ； 翻滚 机构 包括 滚轮 、 翻滚 架 、 基架 ， 滚轮 与 翻滚 架 销接 ， 翻滚 架 与 基架 之间 设有 销接部 和 固定 安装 部 ， 当 翻滚 架 与 基架 之间 解除 固定 安装 时 ， 翻滚 架 以销 接部 为 转动 点 可 翻转 ； 基架 与 主 纵梁 固定 安装 。 

用于 便桥 的 护栏 立柱 安装 结构   本 实用新型 涉及 用于 便桥 的 护栏 立柱 安装 结构 ， 包括 基座 、 连接件 及 立柱 ， 所述 基座 包括 基板 和 挂钩 ， 所述 基板 两侧 设有 挂钩 ， 挂钩 与 基板 相对 固定 连接 ， 挂钩 折向 基板 下方 ， 基板 上 设有 安装 孔 ， 安装 孔 两端 贯穿 于 基板 ， 连接件 一端 设在 安装 孔内 ， 立柱 套 在 连接件 另一端 ， 所述 安装 孔 内壁 设有 螺纹 ， 连接件 一端 与 基座 螺纹 连接 。 本 实用新型 的 挂钩 用于 钩住 工字钢 的 端面 ， 通过 拧动 连接件 从而 完成 基座 与 工字钢 之间 的 固定 连接 ， 通过 螺纹 连接 可靠性 高 ， 装配 后 稳固 可靠 。 

一种 装配式 钢 桥梁 及其 搭建 方法   本发明 涉及 一种 装配式 钢 桥梁 及其 搭建 方法 ， 一种 装配式 钢 桥梁 ， 包括 支撑 框架 、 桥面 板 、 工字 梁 、 桥面 板 连接件 和 工字 梁 锁定 机构 ； 所述 支撑 框架 上 设置 工字 梁 ， 工字 梁 的 延伸 向 与 支撑 框架 的 延伸 向 相 垂直 ， 支撑 框架 支撑 工字 梁 ， 工字 梁 上方 铺设 桥面 板 ， 支撑 框架 与 工字 梁 采用 工字 梁 锁定 机构 固定 安装 ， 工字 梁 和 桥面 板 采用 桥面 板 连接件 固定 安装 ； 本发明 由于 构件 少 、 结构 轻便 简单 、 架设 迅速 、 便于 拆装 互换 ， 在 施工 安装 中 可 根据 施工进度 要求 分批 进入 构件 ， 一边 安装 架设 一边 进行 材料 进场 ； 在 拆除 时 也 可 一边 拆除 一边 分批进行 材料 退场 ， 可 有效 减少 材料 堆放 而 影响 其它 专业 项目 施工 的 问题 。 

发光 外墙 装饰板   本 实用新型 公开 一种 发光 外墙 装饰板 ， 包括 基板 、 设 于 所述 基板 上方 的 发光 板 和 设于 所述 发光 板 上方 的 装饰板 ， 所述 发光 板上 设有 多个 固定 孔 ， 每个 固定 孔 内嵌 设有 一个 灯座 ， 所述 灯座 上 安装 有 LED 灯 ， 所述 装饰板 上 对应 LED 灯处 开设 有 通孔 ， 外露 LED 灯于 装饰板 外 ， 所述 发光 板上 设有 微型 储电 装置 和 导线 ， 所述 装饰板 上 嵌 设有 控制 开关 和 微型 太阳能 电板 ， 所述 微型 太阳能 电板 与 微型 储电 装置 连接 ， 所述 微型 储电 装置 通过 控制 开关 和 导线 与 LED 灯座 电性 连接 ， 通过 微型 太阳能 电板 充电 给 微型 储电 装置 ， 以 供电 给 LED 灯 ， 通过 控制 开关 使 LED 灯 发光 ， 达到 节省 装饰 工序 和 成本 ， 且 节能 又 环保 的 有益 效果 。 

外墙 防火 装饰板   本 实用新型 公开 一种 外墙 防火 装饰板 ， 包括 基板 层 、 保温板 层 、 装饰板 层 、 围设 于 基板 层 和 保温板 层 以及 装饰板 层 外围 的 防火板 ， 其中 ， 基板 层 的 下 表面 设有 安装 孔 ， 基板 层 和 保温板 层内 分别 设有 多个 凹槽 ， 凹槽 内 设有 防火 阻燃剂 ， 基板 层 的 下 表面 和 装饰板 层 的 上 表面 分别 设有 防火 阻燃 涂层 ， 保温板 层 的 上下 表面 分别 设有 水泥浆 阻燃 底层 ， 阻燃 底层 的 外 表面 设有 由 浸渍 过 水泥浆 的 玻璃纤维 网格布 构成 的 阻燃 加强 层 ， 阻燃 加强 层 的 外 表面 设有 由 多层 浸渍 过 水泥浆 的 玻璃纤维 网格布 构成 的 阻燃 隔热层 ， 通过 多层 防火 阻燃 的 设置 ， 达到 良好 的 防火 效果 ， 提高 使用 安全性 。 

一种 新型 檐口 模具   本 实用新型 公开 了 一种 新型 檐口 模具 ， 包括 PVC 凸 圆弧 、 PVC 凹 圆弧 、 支架 和 自攻 螺丝 ， PVC 凸 圆弧 和 PVC 凹 圆弧 长度 、 厚度 和 弧度 相等 ； 所述 PVC 凸 圆弧 和 PVC 凹 圆弧 相邻 并排 设置 ， 通过 间隔 设置 的 自攻 螺丝 固定 在 所述 支架 上 。 本 实用新型 经济 优势 明显 ， 综合 费用 减少 90 以上 ； 模具 具有 良好 的 水密 性 ， 同时 具有 较 好 的 抗拉 、 抗压强度 ， 在实践中 用 其 制备 成 的 模具 浇筑 大型 S 圆弧 线条 ， 可以 省时省力 ， 并且 曲面 表现 精确 ， 成品 成型 率高达 98% ， 后期 无需 修复 ， 观感 好 ； 模具 周转 次数 多 ， 综合 费用 明显降低 ， 成品 聚氯乙烯 PVC 管 性能 稳定 ， 遇水 不 变形 ， 抗压 能力 强 ， 且 与 支撑 的 固定 方式 为 自攻 螺丝 链接 ， 可 随意 拆卸 ， 可 反复 使用 ， 较大 的 提高 了 模具 周转 次数 ， 综合 成本 大大降低 。 

一种 建筑 墙体 结构   本 实用新型 公开 了 一种 建筑 墙体 结构 ， 包括 内 墙板 ， 内 墙板 采用 陶瓷 板 制成 ， 内 墙板 上 分布 有 横向 设置 的 通风孔 ， 通风孔 上 设置 有 单向阀 ， 使 气流 只能 向 屋内 流动 ； 设于 内 墙板 右侧 的 空腔 层 ， 空腔 层 的 两端 设有 进气 通道 ， 进气 通道 与 供风 装置 相连 ； 设 于 空腔 层 右侧 的 隔音棉 层 ； 设 于 隔音棉 层 右侧 的 合金 板层 ； 设 于 合金 板层 右侧 的 防火板 层 ； 设 于 防火板 层 右侧 的 固定 座层 ， 固定 座层 上 向 右侧 伸出 有 若干 凸起 柱 ； 与 固定 座层 配合 安装 的 透明板 层 ， 透明板 层上 设有 于 固定 座层 上 的 凸起 柱 相配合 的 安装 孔 。 本 实用新型 的 通过 设置 可拆卸 的 固定 座层 和 透明板 层 ， 使用 起来 更加 灵活 ， 可以 在 不同 的 应用 场景 下 更换 不同 颜色 的 透明 玻璃板 ， 起到 较 好 的 外墙 装饰 效果 。 

外墙 装饰 保温板   本 实用新型 公开 一种 外墙 装饰 保温板 ， 包括 基板 层 、 保温层 以及 仿石 装饰板 层 ， 仿石 装饰板 层 和 保温层 以及 基板 层 通过 粘合剂 上下 粘合 固定 成一 整体 板 ， 达到 良好 的 保温 效果 ， 所述 基板 层 的 下 表面 设有 安装 孔 ， 而 整体 板 的 四周 固定 设有 由 金属板 围设 成 的 金属 框 ， 在 金属板 的 接合处 设有 开缝 ， 开缝 的 设置 有效 缓冲 翘边 和 因 保温层 膨胀 变形 挤压 金属 框 ， 且 进一步 的 在 金属 框 的 一侧 设有 凸起 部 ， 金属 框 的 另一侧 设有 凹陷 部 ， 凸起 部 和 凹陷 部 呈 上下 相对 或 左右 相对 ， 如此 ， 相邻 的 两个 整体 板 之间 通过 凹陷 部 和 凸起 部 的 配合 实现 更好 的 接合 和 固定 ， 降低 施工 难度 ； 同时 凸起 部 的 末端 设有 倾斜 导引 面 ， 提高 凸起 部 插入 凹陷 部 的 通畅 性 ， 提高 操作 便利性 。 

一种 建筑用 装饰板 结构   本 实用新型 公开 了 一种 建筑用 装饰板 结构 ， 包括 ： 表层 ， 所述 表层 由假 草区 、 LED 显示屏 区 相间 排列 构成 ； 所述 表层 的 左侧 设有 风道 层 ， 所述 风道 层呈 空腔 状 ； 所述 风道 层 与 假草区 通过 出 气管 相连 ， 所述 风道 层 还 通过 进气管 与 风机 相连 ； 所述 风道 层 的 左侧 设有 橡胶 层 ； 所述 橡胶 层 的 左侧 设有 第一 金属 空腔 ， 所述 第一 金属 空腔 的 左侧 设有 第二 金属 空腔 ， 所述 第一 金属 空腔 与 第二 金属 空腔 之间 设有 单向 进水 装置 、 单向 抽水 装置 ； 所述 第二 金属 腔 的 左侧 设有 珍珠棉 层 ； 所述 珍珠棉 层 的 左侧 设有 陶瓷 基层 。 本 实用新型 稳定性 好 ， 可靠性 佳 ， 操作 使用方便 ， 设计 新颖 ， 实用性 强 ， 易于 推广应用 。 

高强度 耐腐蚀 具有 驱虫 功能 的 新型 建筑 外墙涂料 及 制备 工艺   本发明 公开 了 一种 高强度 耐腐蚀 具有 驱虫 功能 的 新型 建筑 外墙涂料 ， 按 重量 比 ， 包括 如下 组分 ： 珍珠粉 8 ～ 15 份 ； 纳米 二氧化钛 粉末 10 ～ 15 份 ； 环糊精 3 ～ 10 份 ； 丙烯酸 树脂 3 ～ 8 份 ； 甲壳质 0 ? . 2 ～ 0 ? . 4 份 ； 纤维状 硅灰石 粉 1 ～ 5 份 ； 玻璃纤维 7 ～ 15 份 ； 荧光粉 0 ? . 1 ～ 0 ? . 8 份 ； 具有 驱虫 功能 的 中草药 干粉 1 ～ 3 份 ； 碳纳米管 0.2 ～ 2 份 ； 陶瓷 粉末 1 ～ 3 份 ； 蜡 5 ～ 7 份 ； 余量 为水 。 本发明 的 外墙涂料 ， 强度 高 ， 耐腐蚀性 能 好 。 通过 设置 具有 驱虫 效果 的 中草药 干粉 ， 可以 驱除 蚊虫 ， 避免 蚊虫 靠近 建筑物 ， 进而 降低 蚊虫 ， 如 蚊子 、 苍蝇 等 进入 室内 的 几率 ， 此外 ， 也 降低 苍蝇 攀附 在外 墙上 的 几率 ， 进而 降低 苍蝇 将 外墙 污损 的 可能性 。 

一种 建筑 外墙 施工 用 安全 扩展 式 悬吊 装置   本 实用新型 公开 了 一种 建筑 外墙 施工 用 安全 扩展 式 悬吊 装置 ， 包括 第一 底板 ， 所述 第一 底板 的 前后 两侧 均 竖直 固定 有 第一 侧板 ， 所述 第一 侧板 的 两端 边缘 均 设有 固定 块 ， 所述 固定 块 上 均 设有 铁链 ， 所述 铁链 的 末端 设有 铁钩 ， 所述 第一 侧板 的 上端 两侧 均 设有 固定 座 ， 所述 固定 座 上 设有 圆孔 ， 所述 第一 底板 的 左右 两侧 均 铰接 有 第二 底板 ， 所述 第二 底板 的 前后 两侧 均 铰接 有 第二 侧板 ， 所述 第二 侧板 靠近 第一 侧板 的 一侧 均 设有 第一 固定 孔 ， 所述 第二 底板 上 设有 与 铁钩 相对 应 的 第二 固定 孔 ， 所述 第二 侧板 远离 第一 侧板 的 一侧 从上到下 均 设有 连接 块 。 本 实用新型 结构 简单 ， 使用方便 ， 可以 方便 扩展 悬吊 装置 的 空间 ， 极大 方便 了 工人 的 施工 ， 适合 推广 。 

艺术 混凝土 外墙 材料 及 施工工艺   本发明 公开 了 艺术 混凝土 外墙 材料 及 施工工艺 ， 外墙 的 材料 包括 单一 颜色 的 单色 石子 或 不同 颜色 的 单色 石子 混合物 、 高标号 彩色 水泥 、 混凝土 强度 增强 剂 、 表面 封固 剂 、 增亮 剂 、 钢筋 、 混凝土 改性剂 、 高岭土 、 水 ， 工艺 的 步骤 有 ： 按 顺序 添加 如下 材料 ： 彩色 水泥 ， 石子 ， 混凝土 改性剂 ， 混凝土 增强 剂 ， 增亮 剂 ， 高岭土 ， 上述 混合物 充分 搅拌 后 ， 加入适量 水再 进行 搅拌 。 本发明 的 优点 在于 ： 解决 现有 外墙 施工 材料 及 工艺 的 安全 性能 低 ， 需要 不断 维护 、 增加 建设 成本 ， 外观 观感 差 ， 漏水 ， 开裂 以及 脱落 等 方面 的 问题 。 

一种 自动 变色 建筑 外墙 结构   本 实用新型 公开 了 一种 自动 变色 建筑 外墙 结构 ， 包括 ： 设置 在 外墙 外 的 透明 的 钢化玻璃 材质 的 板 体层 结构 ， 板 体层 结构 内部 具有 夹层 的 腔体 空间 ， 腔体 空间 内 设有 呈 蜿蜒 曲折 设置 的 透明 的 引导 槽 ， 引导 槽 的 中心 设有 沿其 曲折 延伸 方向 设置 的 引导 绳 ， 引导 绳上 依次 穿 设有 若干个 连续 设置 的 红色 球体 、 若干个 连续 设置 的 黄色 三 角锥体 、 若干个 连续 设置 的 蓝色 矩形 块 以及 若干个 连续 设置 的 橙色 椭圆 球体 ， 引导 绳 的 两 末端 部 设有 止 档块 ， 引导 槽 的 两端 末端 处 分别 连接 有 一回 流管 ， 回流 管 同时 接入 同一 水泵 ， 引导 槽 和 回流 管 填充 有水 。 本 实用新型 结构 简单 ， 方便 实用 ， 使 建筑 外墙 具有 更加 多变 的 颜色 和 美观 动态 的 变化 效果 ， 减少 光污染 ， 且 适用性 强 。 

防 开裂 的 建筑 装饰 石板   本 实用新型 公开 一种 防 开裂 的 建筑 装饰 石板 ， 包括 基板 层 、 设 于 基板 层 上方 的 加强 层 、 设 于 加强 层 上方 的 装饰 石层 、 设 于 装饰 石层 上方 的 装饰物 ， 基板 层为 木板 或 三聚氰胺 板 ， 加强 层为 抗裂 耐碱性 网格布 ， 进行 初步 的 加强 作用 ； 同时 装饰 石层 设有 装饰 表面 和 贴合 面 ， 装饰 表面 与 贴合 面 位于 装饰 石层 相对 的 正 、 反 两面 ， 在 贴合 面凹 设有 多个 防 开裂 槽 ， 防 开裂 槽内 设有 加强 件 ， 进一步提高 装饰 石层 的 强度 ， 防止 开裂 ； 而 装饰物 通过 螺杆 和 贯穿 基板 层 、 加强 层 、 装饰 石层 上 的 通孔 配合 固定 于 装饰 石层 的 装饰 表面 上 ， 可以 拆卸 更换 装饰物 ， 提高 装饰 灵活性 和 便利性 。 

一种 外墙 清理 设备   本 实用新型 涉及 建筑 外墙 领域 ， 具体 提供 一种 外墙 清理 设备 ， 包括 固定 底座 和 升降 平台 ， 所述 的 固定 底座 上 设有 导轨 和 升降 装置 ， 在 固定 底座 上 设有 升降 平台 与 升降 装置 活动 连接 ， 在 升降 平台 上 设有 安装 支架 ， 在 安装 支架 上部 设有 清理 装置 和 喷水 装置 以及 在 安装 支架 顶端 设有 热风 装置 ， 该 设备 不仅 在 建筑物 外墙 施工 方面 有 帮助 ， 更 可以 使 工人 不用 攀爬 建筑 进行 作业 ， 节约 人工成本 ， 保障 人身安全 ， 在 所述 的 固定 底座 底部 各 对角 上 还 设有 滚轮 ， 易于 设备 的 搬运 。 

一种 碳纤维 筋 桥隧 喷浆 加固 翻新 方法   本发明 公开 了 一种 碳纤维 筋 桥隧 喷浆 加固 翻新 方法 ， 按 如下 步骤 实施 ： 处理 加固 构件 表面 浮浆 及 凹凸 面且 将 加固 构件 表面 打磨 平整 ， 先 向 加固 构件 表面 涂抹 1% 的 酚酞 溶液 检验 是否 碳化 ， 若 碳化 ， 则 清除 碳化 层 ， 再 向 被 加固 构件 上大 坑洼 处 填补 聚合物 砂浆 ， 接着 向 被 加固 构件 表面 涂抹 强化剂 和 阻锈剂 ， 采用 与 锚固 孔相 适配 的 螺栓 将 纤维 筋 锚 具 将 固结 于 被 加固 构件 上 ， 锚 具上 设有 凹槽 ， 凹槽 内 固定 有 碳纤维 筋 ， 形成 碳纤维 筋层 ， 分层 浇注 聚合物 砂浆 形成 砂浆 层 ， 砂浆 层 覆盖 纤维 棒层 。 本发明 的 有益 效果 为 ： 加固 后 的 被 加固 构件 强度 高 ， 恒载 增加 小 ， 加固 过程 中有 完备 的 被 加固 构件 缺陷 检验 手段 ， 施工工艺 简单 ， 工期短 ， 无需 支模 ， 建造 维护 成本低 ， 利于 环保 。 

一种 GTM 旋转 压实 剪切 试验机   本 实用新型 公开 了 一种 GTM 旋转 压实 剪切 试验机 ， 包括 旋转 剪切 机构 、 动力 机构 、 数据 采集 控制 机构 和 支撑 机架 ， 动力 机构 包括 PLC 控制 的 液压 元件 和 动力源 ， 其 显著 特征 在于 ： 所述 旋转 剪切 机构 包括 旋转 架 、 滚轮 支架 、 夹具 、 上顶 杆 及 下 顶杆 ， 所述 滚轮 支架 上 设有 滚轮 ， 所述 夹具 顶部 为 外凸 圆盘 ， 外凸 圆盘 上 下面 分别 与 两 滚轮 滚 面相 接触 。 本 实用新型 的 有益 效果 为 ： GTM 把 混合 料 成型 压实 试验机 、 力学 剪切 试验机 和 车辆 模拟机 合并 成为 了 一台 试验机 ， 一旦 试件 成型 完毕 ， 不需 进行 另外 的 强度 试验 即可 得到 混合 的 设计 密度 和 沥青 用量 ， GTM 具有 试验 周期短 、 试验 成本 较 低 的 特点 。 

沥青路面 用抗 车辙 改性剂 及 含抗 车辙 改性剂 的 沥青 混合 料   本发明 涉及 一种 抗 车辙 改性剂 ， 包括 ： ( a ) 高密度 低压 聚乙烯 ； ( b ) 橡胶粉 ； 和 ( c ) 岩 沥青 。 所述 抗 车辙 改性剂 具有 良好 的 低温 抗裂 性能 ， 粘结 强度 高 、 抗水 损 能力 强 、 抗 变形 能力 好 ， 且 成本低 、 制备 工艺 简单 、 操作 方便 ， 便于 在 沥青 混合 料中 添加 。 

